2026-05-21 21:54:35 | DEBUG | C02 | KAFKA_BOOTSTRAP_SERVERS           = localhost:9092
2026-05-21 21:54:35 | DEBUG | C02 | KAFKA_BROKER_ADDRESS_FAMILY       = v6
2026-05-21 21:54:35 | DEBUG | C02 | KAFKA_TOPIC                       = streaming-02-kafka-case
2026-05-21 21:54:35 | DEBUG | C02 | KAFKA_CLEAR_TOPIC_ON_START        = true
2026-05-21 21:54:35 | DEBUG | C02 | PRODUCER_MESSAGE_COUNT            = 3
2026-05-21 21:54:35 | DEBUG | C02 | PRODUCER_MESSAGE_INTERVAL_SECONDS = 2
2026-05-21 21:54:35 | DEBUG | C02 | PRODUCER_MAX_MESSAGES             = 50
2026-05-21 21:54:35 | DEBUG | C02 | PRODUCER_POLL_INTERVAL_SECONDS    = 15
2026-05-21 21:54:35 | DEBUG | C02 | KAFKA_GROUP_ID                    = streaming-consumer-group-A
2026-05-21 21:54:35 | DEBUG | C02 | KAFKA_AUTO_OFFSET_RESET           = earliest
2026-05-21 21:54:35 | DEBUG | C02 | CONSUMER_TIMEOUT_SECONDS          = 10
2026-05-21 21:54:35 | DEBUG | C02 | CONSUMER_MAX_MESSAGES             = 1000
2026-05-21 21:54:35 | DEBUG | P02 | KAFKA_BOOTSTRAP_SERVERS           = localhost:9092
2026-05-21 21:54:35 | DEBUG | P02 | KAFKA_BROKER_ADDRESS_FAMILY       = v6
2026-05-21 21:54:35 | DEBUG | P02 | KAFKA_TOPIC                       = streaming-02-kafka-case
2026-05-21 21:54:35 | DEBUG | P02 | KAFKA_CLEAR_TOPIC_ON_START        = true
2026-05-21 21:54:35 | DEBUG | P02 | PRODUCER_MESSAGE_COUNT            = 3
2026-05-21 21:54:35 | DEBUG | P02 | PRODUCER_MESSAGE_INTERVAL_SECONDS = 2
2026-05-21 21:54:35 | DEBUG | P02 | PRODUCER_MAX_MESSAGES             = 50
2026-05-21 21:54:35 | DEBUG | P02 | PRODUCER_POLL_INTERVAL_SECONDS    = 15
2026-05-21 21:54:35 | DEBUG | P02 | KAFKA_GROUP_ID                    = streaming-consumer-group-A
2026-05-21 21:54:35 | DEBUG | P02 | KAFKA_AUTO_OFFSET_RESET           = earliest
2026-05-21 21:54:35 | DEBUG | P02 | CONSUMER_TIMEOUT_SECONDS          = 10
2026-05-21 21:54:35 | DEBUG | P02 | CONSUMER_MAX_MESSAGES             = 1000
2026-05-21 21:54:35 | INFO | C02 | Processing raw message.
